2436	MATERIAS BASICAS	80	ROOT
3215	BASICO-TEC,TECNICAS E INTEG.	220	ROOT
3233	MATERIAS COMPLEMENTARIAS	10	ROOT
3582	MATERIAS OPCIONALES	0	ROOT
4066	GESTION EN ORGANIZACIONES	10	3215
4083	MATEMATICA	70	2436
4428	ARQUIT, S.OP. Y REDES DE COMP.	30	3215
4442	CIENCIAS EXPERIMENTALES	10	2436
4580	PROGRAMACION	60	3215
4647	B.DATOS Y SIST. DE INFORMACION	10	3215
4756	A.INTEG,TALLERES,PASANT.Y PROY	45	3215
4815	INVESTIGACION OPERATIVA	10	3215
4882	INT.ARTIFICIAL Y ROBOTICA	0	3215
5020	CALCULO NUMERICO Y SIMBOLICO	8	3215
5082	INGENIERIA DE SOFTWARE	10	3215
5265	CIENCIAS HUMANAS Y SOCIALES	10	3233
ROOT	INGENIERIA EN COMPUTACION	450
